Date,neural network output
2009-05-06,0.043908447
2009-05-07,0.97618103
2009-05-08,0.05968523
2009-05-11,0.0009430349
2009-05-12,0.00093761086
2009-05-13,0.5206839
2009-05-14,0.043210983
2009-05-15,0.9466946
2009-05-18,0.03281033
2009-05-19,0.2627698
2009-05-20,0.006900996
2009-05-21,0.6007508
2009-05-22,0.88861406
2009-05-26,0.10386297
2009-05-27,0.99999964
2009-05-28,0.0015010834
2009-05-29,0.00011974265
2009-06-01,0.99998987
2009-06-02,1.1769338e-07
2009-06-03,0.99961996
2009-06-04,0.35432976
2009-06-05,0.008317918
2009-06-08,0.08890197
2009-06-09,0.38237655
2009-06-10,0.55749345
2009-06-11,0.36989033
2009-06-12,0.020887256
2009-06-15,0.55749345
2009-06-16,0.5493162
2009-06-17,0.34286386
2009-06-18,0.06698784
2009-06-19,0.09269887
2009-06-22,0.41046372
2009-06-23,0.06754941
2009-06-24,0.045434684
2009-06-25,0.047860503
2009-06-26,0.0013855398
2009-06-29,0.27706188
2009-06-30,0.17820275
2009-07-01,0.440701
2009-07-02,0.65662956
2009-07-06,0.14064002
2009-07-07,0.44352138
2009-07-08,0.022188067
2009-07-09,0.00070911646
2009-07-10,0.006501138
2009-07-13,0.084213704
2009-07-14,0.10823935
2009-07-15,0.9996334
2009-07-16,4.8080008e-05
2009-07-17,0.045003414
2009-07-20,0.022768587
2009-07-21,0.00724712
2009-07-22,0.0010208488
2009-07-23,0.0027333796
2009-07-24,1.6103511e-05
2009-07-27,0.5608195
2009-07-28,0.80785877
2009-07-29,0.34597337
2009-07-30,0.008100569
2009-07-31,2.3522869e-05
2009-08-03,0.0003091991
2009-08-04,3.8494756e-05
2009-08-05,0.30338418
2009-08-06,0.99813426
2009-08-07,0.12958297
2009-08-10,0.019563109
2009-08-11,0.4772778
2009-08-12,0.013697475
2009-08-13,0.02884245
2009-08-14,0.0008639395
2009-08-17,0.86435026
2009-08-18,0.0019724667
2009-08-19,0.0035028756
2009-08-20,0.06361687
2009-08-21,0.051908016
2009-08-24,1.7902117e-05
2009-08-25,0.014147818
2009-08-26,0.008033007
2009-08-27,0.0690172
2009-08-28,0.35225323
2009-08-31,0.9770378
2009-09-01,0.9997282
2009-09-02,0.2978612
2009-09-03,0.00560835
2009-09-04,0.050788373
2009-09-08,0.00014969707
2009-09-09,0.0015362203
2009-09-10,0.09969035
2009-09-11,0.08245838
2009-09-14,0.07596153
2009-09-15,0.13017249
2009-09-16,0.00017902255
2009-09-17,0.0020251572
2009-09-18,0.08199188
2009-09-21,0.041031122
2009-09-22,0.046339512
2009-09-23,0.03538841
2009-09-24,0.91309685
2009-09-25,0.017414391
2009-09-28,0.006850034
2009-09-29,0.05074802
2009-09-30,0.06128463
2009-10-01,0.9094562
2009-10-02,0.0019697547
2009-10-05,0.008402228
2009-10-06,0.023344308
2009-10-07,0.00041309
2009-10-08,0.02611661
2009-10-09,0.05290246
2009-10-12,0.0006341934
2009-10-13,0.100871384
2009-10-14,0.027192146
2009-10-15,5.758266e-07
2009-10-16,0.006899923
2009-10-19,0.29720765
2009-10-20,0.1371935
2009-10-21,0.82965744
2009-10-22,0.01998818
2009-10-23,0.9992157
2009-10-26,0.5041959
2009-10-27,0.01131174
2009-10-28,0.6161352
2009-10-29,0.024086833
2009-10-30,0.88504755
2009-11-02,0.011942416
2009-11-03,0.17173585
2009-11-04,0.07077539
2009-11-05,6.9900045e-05
2009-11-06,0.004669994
2009-11-09,0.16579476
2009-11-10,0.0005790889
2009-11-11,0.07668108
2009-11-12,0.10179794
2009-11-13,0.24967301
2009-11-16,0.028266191
2009-11-17,0.0032180846
2009-11-18,0.11840671
2009-11-19,0.09758231
2009-11-20,0.012860566
2009-11-23,0.3527531
2009-11-24,0.0016772747
2009-11-25,0.080742806
2009-11-27,0.9977811
2009-11-30,0.0129185915
2009-12-01,0.0017912984
2009-12-02,0.00011658416
2009-12-03,0.26246613
2009-12-04,0.20259124
2009-12-07,1.0
2009-12-08,0.8510344
2009-12-09,0.29260284
2009-12-10,0.24473172
2009-12-11,0.27579734
2009-12-14,0.15920967
2009-12-15,0.056108177
2009-12-16,0.19365779
2009-12-17,0.9696925
2009-12-18,0.009595573
2009-12-21,0.20239696
2009-12-22,0.00037279725
2009-12-23,0.011910558
2009-12-24,0.084662706
2009-12-28,0.35298318
2009-12-29,0.34831846
2009-12-30,0.12755153
2009-12-31,0.13584182
2010-01-04,0.41290045
2010-01-05,4.953055e-05
2010-01-06,0.124454945
2010-01-07,0.14658418
2010-01-08,0.3002676
2010-01-11,0.020551711
2010-01-12,0.30404925
2010-01-13,0.0019447505
2010-01-14,0.04260719
2010-01-15,0.013813853
2010-01-19,0.015957147
2010-01-20,0.9857019
2010-01-21,0.30679345
2010-01-22,0.8717103
2010-01-25,0.14428371
2010-01-26,0.00027105212
2010-01-27,0.00077793
2010-01-28,0.0030713975
2010-01-29,0.5535599
2010-02-01,0.09303042
2010-02-02,0.33269393
2010-02-03,0.027217388
2010-02-04,0.30588776
2010-02-05,0.0038111806
2010-02-08,0.530762
2010-02-09,0.015340418
2010-02-10,0.00038203597
2010-02-11,0.003234893
2010-02-12,0.0063670576
2010-02-16,0.0070907176
2010-02-17,0.00051274896
2010-02-18,0.108980745
2010-02-19,0.041268975
2010-02-22,0.0444555
2010-02-23,0.04601088
2010-02-24,0.0006675422
2010-02-25,0.019644052
2010-02-26,0.0012117028
2010-03-01,0.029088795
2010-03-02,0.025348872
2010-03-03,0.0029791594
2010-03-04,0.10956618
2010-03-05,0.010080934
2010-03-08,0.21402717
2010-03-09,0.036689013
2010-03-10,0.043770015
2010-03-11,0.1824013
2010-03-12,0.048964977
2010-03-15,0.03929317
2010-03-16,0.04307425
2010-03-17,0.01663211
2010-03-18,0.00889501
2010-03-19,0.00416857
2010-03-22,0.13402021
2010-03-23,0.040733635
2010-03-24,0.950685
2010-03-25,0.96844494
2010-03-26,0.030023694
2010-03-29,0.10629091
2010-03-30,0.0012777448
2010-03-31,0.010716289
2010-04-01,0.022052944
2010-04-05,0.002907157
2010-04-06,0.00013813376
2010-04-07,0.019501239
2010-04-08,0.003443867
2010-04-09,0.038115382
2010-04-12,0.001788944
2010-04-13,0.83773196
2010-04-14,0.06564391
2010-04-15,0.24457535
2010-04-16,0.7025589
2010-04-19,0.027484179
2010-04-20,0.09630567
2010-04-21,0.97359383
2010-04-22,0.16630378
2010-04-23,0.01743421
2010-04-26,0.90779716
2010-04-27,0.15589726
2010-04-28,0.228517
2010-04-29,0.0009059906
2010-04-30,0.9926879
2010-05-03,0.11628717
2010-05-04,0.9999931
2010-05-05,0.9998795
2010-05-06,0.93005705
2010-05-07,0.89222836
2010-05-10,0.0019527972
2010-05-11,0.032418072
2010-05-12,0.049926072
2010-05-13,0.99789727
2010-05-14,0.11155623
2010-05-17,0.20823431
2010-05-18,0.96964777
2010-05-19,0.22800735
2010-05-20,0.89366937
2010-05-21,0.0037834346
2010-05-24,0.11155969
2010-05-25,0.1591478
2010-05-26,0.1964092
2010-05-27,0.034302562
2010-05-28,0.99821854
2010-06-01,0.8907882
2010-06-02,0.03898707
2010-06-03,0.5570543
2010-06-04,0.99195814
2010-06-07,0.55749345
2010-06-08,0.003347963
2010-06-09,0.093494
2010-06-10,0.0052084327
2010-06-11,0.26121247
2010-06-14,0.0030900538
2010-06-15,0.00023493171
2010-06-16,0.0014996529
2010-06-17,0.021819144
2010-06-18,0.062482536
2010-06-21,0.8512227
2010-06-22,0.69383866
2010-06-23,0.13653952
2010-06-24,0.022197157
2010-06-25,0.08573526
2010-06-28,0.024106324
2010-06-29,0.536728
2010-06-30,0.00799337
2010-07-01,0.017701834
2010-07-02,0.1560758
2010-07-06,0.015188515
2010-07-07,0.494191
2010-07-08,0.012634486
2010-07-09,0.004849732
2010-07-12,0.014583051
2010-07-13,0.039538145
2010-07-14,0.004082054
2010-07-15,0.09105185
2010-07-16,0.84559983
2010-07-19,0.0011328161
2010-07-20,0.014751166
2010-07-21,0.9735204
2010-07-22,0.13481998
2010-07-23,4.3408486e-06
2010-07-26,0.17059067
2010-07-27,0.0043652058
2010-07-28,0.9985347
2010-07-29,0.046149135
2010-07-30,0.01524207
2010-08-02,0.021125883
2010-08-03,1.2566605e-05
2010-08-04,0.23480546
2010-08-05,0.0021069646
2010-08-06,0.057328016
2010-08-09,0.0075155497
2010-08-10,0.047602206
2010-08-11,0.89601266
2010-08-12,0.034871757
2010-08-13,0.018097222
2010-08-16,0.030900598
2010-08-17,0.00056403875
2010-08-18,0.0010831356
2010-08-19,0.3873461
2010-08-20,0.010948896
2010-08-23,0.00041902065
2010-08-24,0.6072648
2010-08-25,0.0005694628
2010-08-26,0.00040856004
2010-08-27,0.066821545
2010-08-30,0.97408605
2010-08-31,0.015500307
2010-09-01,0.0010025203
2010-09-02,9.732274e-08
2010-09-03,0.00052940845
2010-09-07,0.9537393
2010-09-08,0.06861174
2010-09-09,0.006333828
2010-09-10,0.0007507801
2010-09-13,0.00956589
2010-09-14,0.32127956
2010-09-15,0.022898763
2010-09-16,0.000997901
2010-09-17,0.039933592
2010-09-20,0.0038084984
2010-09-21,0.8090389
2010-09-22,0.0005221963
2010-09-23,0.21868312
2010-09-24,0.094340205
2010-09-27,0.944132
2010-09-28,0.0037978888
2010-09-29,0.0013011992
2010-09-30,0.17839259
2010-10-01,0.0005557835
2010-10-04,0.9999305
2010-10-05,0.04629159
2010-10-06,0.15826032
2010-10-07,0.0139320195
2010-10-08,0.09087187
2010-10-11,0.1592471
2010-10-12,0.19581431
2010-10-13,0.019387126
2010-10-14,0.9995813
2010-10-15,0.029952794
2010-10-18,0.00021502376
2010-10-19,0.9527179
2010-10-20,0.12717044
2010-10-21,0.0011014342
2010-10-22,0.00038158894
2010-10-25,0.9216263
2010-10-26,0.26090324
2010-10-27,0.0038415492
2010-10-28,0.004755348
2010-10-29,0.017312586
2010-11-01,0.049345165
2010-11-02,0.098463595
2010-11-03,0.016729176
2010-11-04,0.00011219276
2010-11-05,0.022289306
2010-11-08,0.0009139478
2010-11-09,0.9996089
2010-11-10,0.0009082556
2010-11-11,0.10275802
2010-11-12,0.5007575
2010-11-15,0.0012034476
2010-11-16,0.8749761
2010-11-17,0.15893516
2010-11-18,0.012593597
2010-11-19,1.6469381e-05
2010-11-22,0.11727789
2010-11-23,0.66876394
2010-11-24,0.27546066
2010-11-26,0.8848845
2010-11-29,0.025809199
2010-11-30,0.19787583
2010-12-01,0.034166396
2010-12-02,0.026168346
2010-12-03,5.8984156e-06
2010-12-06,0.02210021
2010-12-07,0.04818192
2010-12-08,0.00046139956
2010-12-09,0.0034582615
2010-12-10,0.027072519
2010-12-13,0.031626076
